participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,17,formal,N1_same,1779260849,60.182,2026-05-20T15:21:52.092,0,0,0,2,854038.679,854063.777,1,same,0,"[151.42, 205.34]","[[151.42, 205.34]]","[""green""]","[""green""]",green,green,s,same,s,1,1,1397.521,,,,,,1,1,857638.679,857715.426,859144.91,4000,1429.484,859144.91,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 854038.679, ""actual_onset_global_ms"": 854063.777, ""actual_offset_global_ms"": 854175.692, ""actual_duration_ms"": 111.915}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 854138.679, ""actual_onset_global_ms"": 854194.061, ""actual_offset_global_ms"": 856684.981, ""actual_duration_ms"": 2490.92}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 856684.981, ""actual_onset_global_ms"": 856682.323, ""actual_offset_global_ms"": 857688.682, ""actual_duration_ms"": 1006.359}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 857688.682, ""actual_onset_global_ms"": 857715.426, ""actual_offset_global_ms"": 859144.91, ""actual_duration_ms"": 1429.484}]",0,0,1,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,18,formal,N2_change,1779260849,60.182,2026-05-20T15:21:57.209,0,0,0,2,859155.413,859173.521,2,change,1,"[-9.29, -95.72]","[[195.05, -249.88], [-9.29, -95.72]]","[""purple"", ""red""]","[""purple"", ""blue""]",red,blue,s,same,j,0,0,2119.52,,,,,,2,1,862755.413,862865.348,865027.204,4000,2161.856,865027.204,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 859155.413, ""actual_onset_global_ms"": 859173.521, ""actual_offset_global_ms"": 859286.061, ""actual_duration_ms"": 112.54}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 859255.413, ""actual_onset_global_ms"": 859322.865, ""actual_offset_global_ms"": 861809.774, ""actual_duration_ms"": 2486.909}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 861809.774, ""actual_onset_global_ms"": 861809.779, ""actual_offset_global_ms"": 862826.587, ""actual_duration_ms"": 1016.808}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 862826.587, ""actual_onset_global_ms"": 862865.348, ""actual_offset_global_ms"": 865027.204, ""actual_duration_ms"": 2161.856}]",0,0,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,3,19,formal,N4_change,1779260849,60.182,2026-05-20T15:22:03.092,0,0,0,2,865039.763,865064.456,4,change,0,"[-151.89, 205.17]","[[-151.89, 205.17], [146.01, 108.56], [91.27, -218.21], [211.85, 24.8]]","[""yellow"", ""blue"", ""green"", ""purple""]","[""red"", ""blue"", ""green"", ""purple""]",yellow,red,s,same,j,0,0,3167.135,,,,,,6,1,868639.763,868790.968,872057.242,4000,3266.274,872057.242,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 865039.763, ""actual_onset_global_ms"": 865064.456, ""actual_offset_global_ms"": 865170.711, ""actual_duration_ms"": 106.255}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 865139.763, ""actual_onset_global_ms"": 865239.012, ""actual_offset_global_ms"": 867702.932, ""actual_duration_ms"": 2463.92}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 867702.932, ""actual_onset_global_ms"": 867708.683, ""actual_offset_global_ms"": 868721.459, ""actual_duration_ms"": 1012.776}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 868721.459, ""actual_onset_global_ms"": 868790.968, ""actual_offset_global_ms"": 872057.242, ""actual_duration_ms"": 3266.274}]",0,1,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,4,20,formal,N4_change,1779260849,60.182,2026-05-20T15:22:10.120,0,0,0,2,872067.131,872089.025,4,change,3,"[-255.17, -154.98]","[[-103.64, -225.11], [153.6, -190.16], [-119.41, 113.93], [-255.17, -154.98]]","[""green"", ""blue"", ""red"", ""yellow""]","[""green"", ""blue"", ""red"", ""purple""]",yellow,purple,j,change,j,1,1,1653.446,,,,,,4,1,875667.131,875824.826,877503.242,4000,1678.416,877503.242,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 872067.131, ""actual_onset_global_ms"": 872089.025, ""actual_offset_global_ms"": 872201.885, ""actual_duration_ms"": 112.86}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 872167.131, ""actual_onset_global_ms"": 872266.005, ""actual_offset_global_ms"": 874748.641, ""actual_duration_ms"": 2482.636}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 874748.641, ""actual_onset_global_ms"": 874744.492, ""actual_offset_global_ms"": 875755.0, ""actual_duration_ms"": 1010.508}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 875755.0, ""actual_onset_global_ms"": 875824.826, ""actual_offset_global_ms"": 877503.242, ""actual_duration_ms"": 1678.416}]",0,0,1,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,5,21,formal,N4_same,1779260849,60.182,2026-05-20T15:22:15.568,0,0,0,2,877513.998,877533.976,4,same,0,"[187.09, 109.76]","[[187.09, 109.76], [142.4, -191.91], [-199.21, -211.81], [-205.71, -61.4]]","[""purple"", ""blue"", ""red"", ""green""]","[""purple"", ""blue"", ""red"", ""green""]",purple,purple,j,change,s,0,0,11723.677,,,,,,4,1,881113.998,881306.567,893143.903,4000,11837.336,893143.903,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 877513.998, ""actual_onset_global_ms"": 877533.976, ""actual_offset_global_ms"": 877647.074, ""actual_duration_ms"": 113.098}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 877613.998, ""actual_onset_global_ms"": 877712.146, ""actual_offset_global_ms"": 880226.791, ""actual_duration_ms"": 2514.645}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 880226.791, ""actual_onset_global_ms"": 880225.606, ""actual_offset_global_ms"": 881238.495, ""actual_duration_ms"": 1012.889}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 881238.495, ""actual_onset_global_ms"": 881306.567, ""actual_offset_global_ms"": 893143.903, ""actual_duration_ms"": 11837.336}]",0,1,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,6,22,formal,N3_same,1779260849,60.182,2026-05-20T15:22:31.206,0,0,0,2,893152.733,893176.091,3,same,0,"[-11.93, 217.37]","[[-11.93, 217.37], [-49.28, -106.29], [88.52, 84.24]]","[""blue"", ""red"", ""purple""]","[""blue"", ""red"", ""purple""]",blue,blue,s,same,s,1,1,4961.802,,,,,,3,1,896752.733,896901.004,901907.77,4000,5006.766,901907.77,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 893152.733, ""actual_onset_global_ms"": 893176.091, ""actual_offset_global_ms"": 893283.996, ""actual_duration_ms"": 107.905}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 893252.733, ""actual_onset_global_ms"": 893344.106, ""actual_offset_global_ms"": 895837.942, ""actual_duration_ms"": 2493.836}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 895837.942, ""actual_onset_global_ms"": 895837.856, ""actual_offset_global_ms"": 896838.023, ""actual_duration_ms"": 1000.167}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 896838.023, ""actual_onset_global_ms"": 896901.004, ""actual_offset_global_ms"": 901907.77, ""actual_duration_ms"": 5006.766}]",0,1,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,7,23,formal,N1_change,1779260849,60.182,2026-05-20T15:22:39.969,0,0,0,2,901915.344,901930.984,1,change,0,"[-247.81, -42.48]","[[-247.81, -42.48]]","[""green""]","[""red""]",green,red,s,same,j,0,0,2544.028,,,,,,1,1,905515.344,905597.692,908192.898,4000,2595.206,908192.898,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 901915.344, ""actual_onset_global_ms"": 901930.984, ""actual_offset_global_ms"": 902035.508, ""actual_duration_ms"": 104.524}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 902015.344, ""actual_onset_global_ms"": 902055.273, ""actual_offset_global_ms"": 904566.3, ""actual_duration_ms"": 2511.027}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 904566.3, ""actual_onset_global_ms"": 904561.024, ""actual_offset_global_ms"": 905570.946, ""actual_duration_ms"": 1009.922}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 905570.946, ""actual_onset_global_ms"": 905597.692, ""actual_offset_global_ms"": 908192.898, ""actual_duration_ms"": 2595.206}]",0,0,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,8,24,formal,N4_same,1779260849,60.182,2026-05-20T15:22:46.257,0,0,0,2,908203.837,908223.625,4,same,1,"[-52.9, -239.24]","[[224.88, 198.13], [-52.9, -239.24], [118.54, 217.12], [-238.5, 190.73]]","[""purple"", ""blue"", ""red"", ""green""]","[""purple"", ""blue"", ""red"", ""green""]",blue,blue,s,same,s,1,1,9196.233,,,,,,4,1,911803.837,911940.387,921221.098,4000,9280.711,921221.098,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 908203.837, ""actual_onset_global_ms"": 908223.625, ""actual_offset_global_ms"": 908334.235, ""actual_duration_ms"": 110.61}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 908303.837, ""actual_onset_global_ms"": 908407.29, ""actual_offset_global_ms"": 910854.66, ""actual_duration_ms"": 2447.37}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 910854.66, ""actual_onset_global_ms"": 910861.336, ""actual_offset_global_ms"": 911871.233, ""actual_duration_ms"": 1009.897}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 911871.233, ""actual_onset_global_ms"": 911940.387, ""actual_offset_global_ms"": 921221.098, ""actual_duration_ms"": 9280.711}]",0,1,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,9,25,formal,N1_same,1779260849,60.182,2026-05-20T15:22:59.282,0,0,0,2,921228.883,921246.44,1,same,0,"[-156.18, 22.25]","[[-156.18, 22.25]]","[""purple""]","[""purple""]",purple,purple,j,change,s,0,0,3625.428,,,,,,1,1,924828.883,924910.032,928555.4,4000,3645.368,928555.4,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 921228.883, ""actual_onset_global_ms"": 921246.44, ""actual_offset_global_ms"": 921352.682, ""actual_duration_ms"": 106.242}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 921328.883, ""actual_onset_global_ms"": 921371.672, ""actual_offset_global_ms"": 923872.124, ""actual_duration_ms"": 2500.452}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 923872.124, ""actual_onset_global_ms"": 923868.501, ""actual_offset_global_ms"": 924887.686, ""actual_duration_ms"": 1019.185}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 924887.686, ""actual_onset_global_ms"": 924910.032, ""actual_offset_global_ms"": 928555.4, ""actual_duration_ms"": 3645.368}]",0,1,0,1,0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,10,26,formal,N3_same,1779260849,60.182,2026-05-20T15:23:06.619,0,0,0,2,928564.968,928584.758,3,same,1,"[-51.54, -183.47]","[[54.89, 238.02], [-51.54, -183.47], [-173.15, -201.73]]","[""yellow"", ""purple"", ""blue""]","[""yellow"", ""purple"", ""blue""]",purple,purple,s,same,s,1,1,3438.853,,,,,,4,1,932164.968,932291.262,935773.182,4000,3481.92,935773.182,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 928564.968, ""actual_onset_global_ms"": 928584.758, ""actual_offset_global_ms"": 928697.74, ""actual_duration_ms"": 112.982}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 928664.968, ""actual_onset_global_ms"": 928753.971, ""actual_offset_global_ms"": 931217.686, ""actual_duration_ms"": 2463.715}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 931217.686, ""actual_onset_global_ms"": 931221.097, ""actual_offset_global_ms"": 932237.764, ""actual_duration_ms"": 1016.667}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 932237.764, ""actual_onset_global_ms"": 932291.262, ""actual_offset_global_ms"": 935773.182, ""actual_duration_ms"": 3481.92}]",0,1,0,1,0
