participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,17,formal,N4_change,1779262126,58.622,2026-05-20T15:45:05.106,0,0,0,2,971432.97,971451.922,4,change,1,"[-164.92, 245.15]","[[-245.5, 144.03], [-164.92, 245.15], [76.57, -189.93], [-63.75, -202.01]]","[""blue"", ""purple"", ""red"", ""green""]","[""blue"", ""yellow"", ""red"", ""green""]",purple,yellow,j,change,j,1,1,2729.539,,,,,,7,1,975032.97,975184.967,977953.211,4000,2768.244,977953.211,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 971432.97, ""actual_onset_global_ms"": 971451.922, ""actual_offset_global_ms"": 971551.086, ""actual_duration_ms"": 99.164}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 971532.97, ""actual_onset_global_ms"": 971619.473, ""actual_offset_global_ms"": 974099.974, ""actual_duration_ms"": 2480.501}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 974099.974, ""actual_onset_global_ms"": 974101.591, ""actual_offset_global_ms"": 975102.634, ""actual_duration_ms"": 1001.043}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 975102.634, ""actual_onset_global_ms"": 975184.967, ""actual_offset_global_ms"": 977953.211, ""actual_duration_ms"": 2768.244}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,18,formal,N4_same,1779262126,58.622,2026-05-20T15:45:11.634,0,0,0,2,977960.372,977978.719,4,same,3,"[198.86, -250.13]","[[-135.3, 9.9], [97.79, 140.78], [-215.64, -76.26], [198.86, -250.13]]","[""red"", ""blue"", ""green"", ""yellow""]","[""red"", ""blue"", ""green"", ""yellow""]",yellow,yellow,s,same,s,1,1,2879.744,,,,,,4,1,981560.372,981705.834,984606.762,4000,2900.928,984606.762,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 977960.372, ""actual_onset_global_ms"": 977978.719, ""actual_offset_global_ms"": 978093.459, ""actual_duration_ms"": 114.74}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 978060.372, ""actual_onset_global_ms"": 978164.993, ""actual_offset_global_ms"": 980627.613, ""actual_duration_ms"": 2462.62}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 980627.613, ""actual_onset_global_ms"": 980628.638, ""actual_offset_global_ms"": 981635.442, ""actual_duration_ms"": 1006.804}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 981635.442, ""actual_onset_global_ms"": 981705.834, ""actual_offset_global_ms"": 984606.762, ""actual_duration_ms"": 2900.928}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,3,19,formal,N4_same,1779262126,58.622,2026-05-20T15:45:18.290,0,0,0,2,984617.789,984644.319,4,same,1,"[85.56, -38.05]","[[257.75, -150.69], [85.56, -38.05], [62.07, 179.81], [-192.44, -219.7]]","[""blue"", ""yellow"", ""green"", ""red""]","[""blue"", ""yellow"", ""green"", ""red""]",yellow,yellow,s,same,s,1,1,1771.561,,,,,,7,1,988217.789,988354.466,990235.285,4000,1880.819,990235.285,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 984617.789, ""actual_onset_global_ms"": 984644.319, ""actual_offset_global_ms"": 984740.544, ""actual_duration_ms"": 96.225}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 984717.789, ""actual_onset_global_ms"": 984811.768, ""actual_offset_global_ms"": 987254.824, ""actual_duration_ms"": 2443.056}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 987254.824, ""actual_onset_global_ms"": 987258.518, ""actual_offset_global_ms"": 988269.064, ""actual_duration_ms"": 1010.546}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 988269.064, ""actual_onset_global_ms"": 988354.466, ""actual_offset_global_ms"": 990235.285, ""actual_duration_ms"": 1880.819}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,4,20,formal,N1_change,1779262126,58.622,2026-05-20T15:45:23.918,0,0,0,2,990245.272,990261.529,1,change,0,"[36.39, -83.83]","[[36.39, -83.83]]","[""red""]","[""blue""]",red,blue,j,change,j,1,1,2050.272,,,,,,1,1,993845.272,993927.616,996007.58,4000,2079.964,996007.58,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 990245.272, ""actual_onset_global_ms"": 990261.529, ""actual_offset_global_ms"": 990368.781, ""actual_duration_ms"": 107.252}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 990345.272, ""actual_onset_global_ms"": 990386.605, ""actual_offset_global_ms"": 992901.291, ""actual_duration_ms"": 2514.686}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 992901.291, ""actual_onset_global_ms"": 992901.819, ""actual_offset_global_ms"": 993902.199, ""actual_duration_ms"": 1000.38}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 993902.199, ""actual_onset_global_ms"": 993927.616, ""actual_offset_global_ms"": 996007.58, ""actual_duration_ms"": 2079.964}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,5,21,formal,N2_change,1779262126,58.622,2026-05-20T15:45:29.690,0,0,0,2,996017.483,996039.428,2,change,0,"[72.59, -113.31]","[[72.59, -113.31], [-102.64, -254.71]]","[""red"", ""yellow""]","[""blue"", ""yellow""]",red,blue,s,same,j,0,0,4231.202,,,,,,2,1,999617.483,999726.107,1003990.603,4000,4264.496,1003990.603,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 996017.483, ""actual_onset_global_ms"": 996039.428, ""actual_offset_global_ms"": 996148.603, ""actual_duration_ms"": 109.175}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 996117.483, ""actual_onset_global_ms"": 996190.874, ""actual_offset_global_ms"": 998674.943, ""actual_duration_ms"": 2484.069}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 998674.943, ""actual_onset_global_ms"": 998672.746, ""actual_offset_global_ms"": 999685.83, ""actual_duration_ms"": 1013.084}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 999685.83, ""actual_onset_global_ms"": 999726.107, ""actual_offset_global_ms"": 1003990.603, ""actual_duration_ms"": 4264.496}]",0,1,0,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,6,22,formal,N2_change,1779262126,58.622,2026-05-20T15:45:37.670,0,0,0,2,1003998.34,1004016.016,2,change,0,"[-171.99, 236.97]","[[-171.99, 236.97], [236.82, 94.99]]","[""purple"", ""green""]","[""blue"", ""green""]",purple,blue,j,change,j,1,1,2998.009,,,,,,2,1,1007598.34,1007699.757,1010751.478,4000,3051.721,1010751.478,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1003998.34, ""actual_onset_global_ms"": 1004016.016, ""actual_offset_global_ms"": 1004123.67, ""actual_duration_ms"": 107.654}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1004098.34, ""actual_onset_global_ms"": 1004159.806, ""actual_offset_global_ms"": 1006644.327, ""actual_duration_ms"": 2484.521}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1006644.327, ""actual_onset_global_ms"": 1006641.793, ""actual_offset_global_ms"": 1007652.63, ""actual_duration_ms"": 1010.837}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1007652.63, ""actual_onset_global_ms"": 1007699.757, ""actual_offset_global_ms"": 1010751.478, ""actual_duration_ms"": 3051.721}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,7,23,formal,N4_same,1779262126,58.622,2026-05-20T15:45:44.437,0,0,0,2,1010763.825,1010785.403,4,same,1,"[-247.34, 242.33]","[[9.84, -152.64], [-247.34, 242.33], [-213.93, -92.77], [-84.42, -87.36]]","[""purple"", ""red"", ""green"", ""blue""]","[""purple"", ""red"", ""green"", ""blue""]",red,red,s,same,s,1,1,1963.539,,,,,,8,1,1014363.825,1014521.103,1016572.869,4000,2051.766,1016572.869,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1010763.825, ""actual_onset_global_ms"": 1010785.403, ""actual_offset_global_ms"": 1010881.355, ""actual_duration_ms"": 95.952}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1010863.825, ""actual_onset_global_ms"": 1010956.29, ""actual_offset_global_ms"": 1013436.264, ""actual_duration_ms"": 2479.974}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1013436.264, ""actual_onset_global_ms"": 1013434.747, ""actual_offset_global_ms"": 1014452.093, ""actual_duration_ms"": 1017.346}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1014452.093, ""actual_onset_global_ms"": 1014521.103, ""actual_offset_global_ms"": 1016572.869, ""actual_duration_ms"": 2051.766}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,8,24,formal,N1_same,1779262126,58.622,2026-05-20T15:45:50.253,0,0,0,2,1016580.206,1016597.739,1,same,0,"[-104.97, 155.7]","[[-104.97, 155.7]]","[""yellow""]","[""yellow""]",yellow,yellow,s,same,s,1,1,1593.946,,,,,,1,1,1020180.206,1020271.293,1021891.011,4000,1619.718,1021891.011,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1016580.206, ""actual_onset_global_ms"": 1016597.739, ""actual_offset_global_ms"": 1016710.044, ""actual_duration_ms"": 112.305}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1016680.206, ""actual_onset_global_ms"": 1016732.034, ""actual_offset_global_ms"": 1019235.727, ""actual_duration_ms"": 2503.693}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1019235.727, ""actual_onset_global_ms"": 1019234.699, ""actual_offset_global_ms"": 1020252.241, ""actual_duration_ms"": 1017.542}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1020252.241, ""actual_onset_global_ms"": 1020271.293, ""actual_offset_global_ms"": 1021891.011, ""actual_duration_ms"": 1619.718}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,9,25,formal,N3_same,1779262126,58.622,2026-05-20T15:45:55.574,0,0,0,2,1021901.525,1021926.938,3,same,1,"[26.88, -217.27]","[[114.66, -127.34], [26.88, -217.27], [123.38, -13.92]]","[""green"", ""yellow"", ""blue""]","[""green"", ""yellow"", ""blue""]",yellow,yellow,s,same,s,1,1,2130.345,,,,,,3,1,1025501.525,1025676.751,1027827.237,4000,2150.486,1027827.237,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1021901.525, ""actual_onset_global_ms"": 1021926.938, ""actual_offset_global_ms"": 1022032.931, ""actual_duration_ms"": 105.993}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1022001.525, ""actual_onset_global_ms"": 1022087.998, ""actual_offset_global_ms"": 1024591.062, ""actual_duration_ms"": 2503.064}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1024591.062, ""actual_onset_global_ms"": 1024587.717, ""actual_offset_global_ms"": 1025602.044, ""actual_duration_ms"": 1014.327}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1025602.044, ""actual_onset_global_ms"": 1025676.751, ""actual_offset_global_ms"": 1027827.237, ""actual_duration_ms"": 2150.486}]",0,0,1,0,1
014,014_T1_20260520_152846,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,10,26,formal,N4_change,1779262126,58.622,2026-05-20T15:46:01.510,0,0,0,2,1027836.882,1027861.033,4,change,3,"[194.49, -219.71]","[[-134.03, 101.36], [-69.77, 240.03], [243.16, 171.82], [194.49, -219.71]]","[""green"", ""yellow"", ""blue"", ""purple""]","[""green"", ""yellow"", ""blue"", ""red""]",purple,red,s,same,j,0,0,2411.286,,,,,,4,1,1031436.882,1031641.312,1034151.202,4000,2509.89,1034151.202,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1027836.882, ""actual_onset_global_ms"": 1027861.033, ""actual_offset_global_ms"": 1027968.246, ""actual_duration_ms"": 107.213}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1027936.882, ""actual_onset_global_ms"": 1028037.812, ""actual_offset_global_ms"": 1030556.084, ""actual_duration_ms"": 2518.272}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1030556.084, ""actual_onset_global_ms"": 1030556.162, ""actual_offset_global_ms"": 1031568.708, ""actual_duration_ms"": 1012.546}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1031568.708, ""actual_onset_global_ms"": 1031641.312, ""actual_offset_global_ms"": 1034151.202, ""actual_duration_ms"": 2509.89}]",0,0,0,0,1
