participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,25,formal,N1_change,1779091364,60.0,2026-05-18T16:15:09.843,0,0,0,3,739139.926,739148.632,1,change,0,"[-213.74, -250.08]","[[-213.74, -250.08]]","[""green""]","[""yellow""]",green,yellow,j,change,j,1,1,1261.174,,,,,,1,1,742739.926,742775.822,744060.801,4000,1284.979,744060.801,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 739139.926, ""actual_onset_global_ms"": 739148.632, ""actual_offset_global_ms"": 739264.659, ""actual_duration_ms"": 116.027}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 739239.926, ""actual_onset_global_ms"": 739268.074, ""actual_offset_global_ms"": 741764.855, ""actual_duration_ms"": 2496.781}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 741764.855, ""actual_onset_global_ms"": 741754.874, ""actual_offset_global_ms"": 742770.959, ""actual_duration_ms"": 1016.085}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 742770.959, ""actual_onset_global_ms"": 742775.822, ""actual_offset_global_ms"": 744060.801, ""actual_duration_ms"": 1284.979}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,26,formal,N1_change,1779091364,60.0,2026-05-18T16:15:14.767,0,0,0,3,744064.053,744075.539,1,change,0,"[196.34, -194.58]","[[196.34, -194.58]]","[""blue""]","[""yellow""]",blue,yellow,j,change,j,1,1,1116.073,,,,,,1,1,747664.053,747713.132,748837.185,4000,1124.053,748837.185,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 744064.053, ""actual_onset_global_ms"": 744075.539, ""actual_offset_global_ms"": 744192.75, ""actual_duration_ms"": 117.211}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 744164.053, ""actual_onset_global_ms"": 744196.993, ""actual_offset_global_ms"": 746699.029, ""actual_duration_ms"": 2502.036}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 746699.029, ""actual_onset_global_ms"": 746691.752, ""actual_offset_global_ms"": 747708.379, ""actual_duration_ms"": 1016.627}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 747708.379, ""actual_onset_global_ms"": 747713.132, ""actual_offset_global_ms"": 748837.185, ""actual_duration_ms"": 1124.053}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,3,27,formal,N1_change,1779091364,60.0,2026-05-18T16:15:19.544,0,0,0,3,748840.962,748853.232,1,change,0,"[230.28, 190.9]","[[230.28, 190.9]]","[""blue""]","[""yellow""]",blue,yellow,j,change,j,1,1,985.653,,,,,,1,1,752440.962,752491.781,753493.267,4000,1001.486,753493.267,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 748840.962, ""actual_onset_global_ms"": 748853.232, ""actual_offset_global_ms"": 748969.912, ""actual_duration_ms"": 116.68}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 748940.962, ""actual_onset_global_ms"": 748974.567, ""actual_offset_global_ms"": 751476.551, ""actual_duration_ms"": 2501.984}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 751476.551, ""actual_onset_global_ms"": 751469.624, ""actual_offset_global_ms"": 752487.302, ""actual_duration_ms"": 1017.678}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 752487.302, ""actual_onset_global_ms"": 752491.781, ""actual_offset_global_ms"": 753493.267, ""actual_duration_ms"": 1001.486}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,4,28,formal,N2_same,1779091364,60.0,2026-05-18T16:15:24.200,0,0,0,3,753496.635,753509.969,2,same,0,"[-34.75, 95.23]","[[-34.75, 95.23], [-210.53, 161.9]]","[""purple"", ""blue""]","[""purple"", ""blue""]",purple,purple,j,change,s,0,0,1338.039,,,,,,2,1,757096.635,757159.559,758513.179,4000,1353.62,758513.179,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 753496.635, ""actual_onset_global_ms"": 753509.969, ""actual_offset_global_ms"": 753626.702, ""actual_duration_ms"": 116.733}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 753596.635, ""actual_onset_global_ms"": 753640.187, ""actual_offset_global_ms"": 756140.691, ""actual_duration_ms"": 2500.504}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 756140.691, ""actual_onset_global_ms"": 756130.919, ""actual_offset_global_ms"": 757142.908, ""actual_duration_ms"": 1011.989}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 757142.908, ""actual_onset_global_ms"": 757159.559, ""actual_offset_global_ms"": 758513.179, ""actual_duration_ms"": 1353.62}]",0,0,0,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,5,29,formal,N3_change,1779091364,60.0,2026-05-18T16:15:29.219,0,0,0,3,758516.791,758529.963,3,change,1,"[-250.86, 212.65]","[[200.72, -223.08], [-250.86, 212.65], [160.28, 139.2]]","[""purple"", ""yellow"", ""green""]","[""purple"", ""blue"", ""green""]",yellow,blue,j,change,j,1,1,1345.657,,,,,,3,1,762116.791,762203.814,763581.559,4000,1377.745,763581.559,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 758516.791, ""actual_onset_global_ms"": 758529.963, ""actual_offset_global_ms"": 758647.053, ""actual_duration_ms"": 117.09}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 758616.791, ""actual_onset_global_ms"": 758670.592, ""actual_offset_global_ms"": 761168.446, ""actual_duration_ms"": 2497.854}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 761168.446, ""actual_onset_global_ms"": 761163.295, ""actual_offset_global_ms"": 762180.085, ""actual_duration_ms"": 1016.79}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 762180.085, ""actual_onset_global_ms"": 762203.814, ""actual_offset_global_ms"": 763581.559, ""actual_duration_ms"": 1377.745}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,6,30,formal,N1_same,1779091364,60.0,2026-05-18T16:15:34.288,0,0,0,3,763585.402,763593.632,1,same,0,"[-201.89, 71.89]","[[-201.89, 71.89]]","[""green""]","[""green""]",green,green,j,change,s,0,0,2608.116,,,,,,1,1,767185.402,767230.475,769856.472,4000,2625.997,769856.472,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 763585.402, ""actual_onset_global_ms"": 763593.632, ""actual_offset_global_ms"": 763710.025, ""actual_duration_ms"": 116.393}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 763685.402, ""actual_onset_global_ms"": 763713.699, ""actual_offset_global_ms"": 766216.63, ""actual_duration_ms"": 2502.931}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 766216.63, ""actual_onset_global_ms"": 766209.705, ""actual_offset_global_ms"": 767226.839, ""actual_duration_ms"": 1017.134}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 767226.839, ""actual_onset_global_ms"": 767230.475, ""actual_offset_global_ms"": 769856.472, ""actual_duration_ms"": 2625.997}]",0,0,0,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,7,31,formal,N1_change,1779091364,60.0,2026-05-18T16:15:40.563,0,0,0,3,769860.004,769873.306,1,change,0,"[232.36, 74.47]","[[232.36, 74.47]]","[""green""]","[""red""]",green,red,j,change,j,1,1,1384.349,,,,,,1,1,773460.004,773510.254,774919.089,4000,1408.835,774919.089,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 769860.004, ""actual_onset_global_ms"": 769873.306, ""actual_offset_global_ms"": 769990.446, ""actual_duration_ms"": 117.14}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 769960.004, ""actual_onset_global_ms"": 769994.065, ""actual_offset_global_ms"": 772502.913, ""actual_duration_ms"": 2508.848}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 772502.913, ""actual_onset_global_ms"": 772494.879, ""actual_offset_global_ms"": 773505.03, ""actual_duration_ms"": 1010.151}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 773505.03, ""actual_onset_global_ms"": 773510.254, ""actual_offset_global_ms"": 774919.089, ""actual_duration_ms"": 1408.835}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,8,32,formal,N4_same,1779091364,60.0,2026-05-18T16:15:45.626,0,0,0,3,774923.123,774935.832,4,same,0,"[46.45, 205.74]","[[46.45, 205.74], [-96.09, 200.41], [144.15, 62.11], [129.4, -45.09]]","[""red"", ""blue"", ""yellow"", ""purple""]","[""red"", ""blue"", ""yellow"", ""purple""]",red,red,s,same,s,1,1,2523.107,,,,,,5,1,778523.123,778631.472,781188.846,4000,2557.374,781188.846,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 774923.123, ""actual_onset_global_ms"": 774935.832, ""actual_offset_global_ms"": 775052.628, ""actual_duration_ms"": 116.796}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 775023.123, ""actual_onset_global_ms"": 775086.367, ""actual_offset_global_ms"": 777584.874, ""actual_duration_ms"": 2498.507}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 777584.874, ""actual_onset_global_ms"": 777579.979, ""actual_offset_global_ms"": 778596.828, ""actual_duration_ms"": 1016.849}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 778596.828, ""actual_onset_global_ms"": 778631.472, ""actual_offset_global_ms"": 781188.846, ""actual_duration_ms"": 2557.374}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,9,33,formal,N1_same,1779091364,60.0,2026-05-18T16:15:51.896,0,0,0,3,781192.956,781205.574,1,same,0,"[60.09, -197.95]","[[60.09, -197.95]]","[""green""]","[""green""]",green,green,s,same,s,1,1,2743.325,,,,,,1,1,784792.956,784856.508,787614.76,4000,2758.252,787614.76,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 781192.956, ""actual_onset_global_ms"": 781205.574, ""actual_offset_global_ms"": 781322.52, ""actual_duration_ms"": 116.946}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 781292.956, ""actual_onset_global_ms"": 781325.934, ""actual_offset_global_ms"": 783835.777, ""actual_duration_ms"": 2509.843}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 783835.777, ""actual_onset_global_ms"": 783834.896, ""actual_offset_global_ms"": 784851.864, ""actual_duration_ms"": 1016.968}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 784851.864, ""actual_onset_global_ms"": 784856.508, ""actual_offset_global_ms"": 787614.76, ""actual_duration_ms"": 2758.252}]",0,0,1,0,1
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,10,34,formal,N1_same,1779091364,60.0,2026-05-18T16:15:58.321,0,0,0,3,787618.135,787627.205,1,same,0,"[114.52, 104.43]","[[114.52, 104.43]]","[""green""]","[""green""]",green,green,j,change,s,0,0,2661.048,,,,,,1,1,791218.135,791261.174,793949.373,4000,2688.199,793949.373,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 787618.135, ""actual_onset_global_ms"": 787627.205, ""actual_offset_global_ms"": 787744.464, ""actual_duration_ms"": 117.259}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 787718.135, ""actual_onset_global_ms"": 787747.886, ""actual_offset_global_ms"": 790248.039, ""actual_duration_ms"": 2500.153}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 790248.039, ""actual_onset_global_ms"": 790238.847, ""actual_offset_global_ms"": 791256.53, ""actual_duration_ms"": 1017.683}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 791256.53, ""actual_onset_global_ms"": 791261.174, ""actual_offset_global_ms"": 793949.373, ""actual_duration_ms"": 2688.199}]",0,0,0,0,1
