participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,1,13,formal,color,1779262192,60.0,2026-05-20T15:33:05.727,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,186112.913,186124.888,color,cue_color.wav,颜色,186241.962,500,186938.524,blue,boat,blue_boat,s,s,1,1774.204,188514.915,first,,color,,2273.193,none,,,,,186712.913,186740.711,188514.915,3000,1774.204,188514.915,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 186112.913, ""actual_onset_global_ms"": 186124.888, ""actual_offset_global_ms"": 186239.917, ""actual_duration_ms"": 115.029}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 186212.913, ""actual_onset_global_ms"": 186241.722, ""actual_offset_global_ms"": 186740.47, ""actual_duration_ms"": 498.748}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 186712.913, ""actual_onset_global_ms"": 186740.711, ""actual_offset_global_ms"": 188514.915, ""actual_duration_ms"": 1774.204}]",0,0,1,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,2,14,formal,color,1779262192,60.0,2026-05-20T15:33:08.143,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,188528.196,188541.22,color,cue_color.wav,颜色,188657.601,500,189354.163,blue,rabbit,blue_rabbit,s,s,1,657.87,189814.628,repeat,color,color,,1157.492,none,,,,,189128.196,189156.758,189814.628,3000,657.87,189814.628,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 188528.196, ""actual_onset_global_ms"": 188541.22, ""actual_offset_global_ms"": 188657.096, ""actual_duration_ms"": 115.876}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 188628.196, ""actual_onset_global_ms"": 188657.136, ""actual_offset_global_ms"": 189157.607, ""actual_duration_ms"": 500.471}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 189128.196, ""actual_onset_global_ms"": 189156.758, ""actual_offset_global_ms"": 189814.628, ""actual_duration_ms"": 657.87}]",0,0,1,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,3,15,formal,shape,1779262192,60.0,2026-05-20T15:33:09.443,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,189828.435,189840.285,shape,cue_shape.wav,形状,189957.984,500,190724.234,red,boat,red_boat,j,s,0,1537.123,191993.976,switch,color,shape,,2036.228,none,,,,,190428.435,190456.853,191993.976,3000,1537.123,191993.976,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 189828.435, ""actual_onset_global_ms"": 189840.285, ""actual_offset_global_ms"": 189957.163, ""actual_duration_ms"": 116.878}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 189928.435, ""actual_onset_global_ms"": 189957.748, ""actual_offset_global_ms"": 190456.78, ""actual_duration_ms"": 499.032}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 190428.435, ""actual_onset_global_ms"": 190456.853, ""actual_offset_global_ms"": 191993.976, ""actual_duration_ms"": 1537.123}]",0,0,0,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,4,16,formal,shape,1779262192,60.0,2026-05-20T15:33:11.626,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,192011.474,192023.454,shape,cue_shape.wav,形状,192141.016,500,192907.266,red,rabbit,red_rabbit,s,s,1,949.676,193590.485,repeat,shape,shape,,1449.998,none,,,,,192611.474,192640.809,193590.485,3000,949.676,193590.485,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 192011.474, ""actual_onset_global_ms"": 192023.454, ""actual_offset_global_ms"": 192140.361, ""actual_duration_ms"": 116.907}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 192111.474, ""actual_onset_global_ms"": 192140.487, ""actual_offset_global_ms"": 192640.611, ""actual_duration_ms"": 500.124}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 192611.474, ""actual_onset_global_ms"": 192640.809, ""actual_offset_global_ms"": 193590.485, ""actual_duration_ms"": 949.676}]",0,0,1,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,5,17,formal,color,1779262192,60.0,2026-05-20T15:33:13.210,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,193595.513,193606.904,color,cue_color.wav,颜色,193724.087,500,194420.649,blue,boat,blue_boat,s,j,0,926.548,195150.375,switch,shape,color,,1426.526,none,,,,,194195.513,194223.827,195150.375,3000,926.548,195150.375,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 193595.513, ""actual_onset_global_ms"": 193606.904, ""actual_offset_global_ms"": 193723.737, ""actual_duration_ms"": 116.833}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 193695.513, ""actual_onset_global_ms"": 193723.849, ""actual_offset_global_ms"": 194223.713, ""actual_duration_ms"": 499.864}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 194195.513, ""actual_onset_global_ms"": 194223.827, ""actual_offset_global_ms"": 195150.375, ""actual_duration_ms"": 926.548}]",0,0,0,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,6,18,formal,color,1779262192,60.0,2026-05-20T15:33:14.777,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,195163.128,195174.179,color,cue_color.wav,颜色,195291.307,500,195987.87,red,boat,red_boat,j,j,1,2584.288,198374.825,repeat,color,color,,3083.884,none,,,,,195763.128,195790.537,198374.825,3000,2584.288,198374.825,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 195163.128, ""actual_onset_global_ms"": 195174.179, ""actual_offset_global_ms"": 195290.477, ""actual_duration_ms"": 116.298}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 195263.128, ""actual_onset_global_ms"": 195290.941, ""actual_offset_global_ms"": 195790.439, ""actual_duration_ms"": 499.498}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 195763.128, ""actual_onset_global_ms"": 195790.537, ""actual_offset_global_ms"": 198374.825, ""actual_duration_ms"": 2584.288}]",0,0,1,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,7,19,formal,color,1779262192,60.0,2026-05-20T15:33:18.010,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,198395.923,198407.357,color,cue_color.wav,颜色,198524.469,500,199221.032,blue,boat,blue_boat,s,j,0,918.733,199942.407,repeat,color,color,,1418.183,none,,,,,198995.923,199023.674,199942.407,3000,918.733,199942.407,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 198395.923, ""actual_onset_global_ms"": 198407.357, ""actual_offset_global_ms"": 198524.73, ""actual_duration_ms"": 117.373}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 198495.923, ""actual_onset_global_ms"": 198524.224, ""actual_offset_global_ms"": 199023.671, ""actual_duration_ms"": 499.447}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 198995.923, ""actual_onset_global_ms"": 199023.674, ""actual_offset_global_ms"": 199942.407, ""actual_duration_ms"": 918.733}]",0,0,0,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,8,20,formal,shape,1779262192,60.0,2026-05-20T15:33:19.577,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,199962.599,199973.74,shape,cue_shape.wav,形状,200090.749,500,200856.999,blue,boat,blue_boat,j,j,1,3475.985,204066.409,switch,color,shape,,3976.053,none,,,,,200562.599,200590.424,204066.409,3000,3475.985,204066.409,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 199962.599, ""actual_onset_global_ms"": 199973.74, ""actual_offset_global_ms"": 200090.355, ""actual_duration_ms"": 116.615}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 200062.599, ""actual_onset_global_ms"": 200090.356, ""actual_offset_global_ms"": 200590.431, ""actual_duration_ms"": 500.075}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 200562.599, ""actual_onset_global_ms"": 200590.424, ""actual_offset_global_ms"": 204066.409, ""actual_duration_ms"": 3475.985}]",0,1,0,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,9,21,formal,color,1779262192,60.0,2026-05-20T15:33:23.694,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,204079.738,204091.879,color,cue_color.wav,颜色,204207.674,500,204904.236,red,rabbit,red_rabbit,j,j,1,1603.632,206310.784,switch,shape,color,,2103.448,none,,,,,204679.738,204707.152,206310.784,3000,1603.632,206310.784,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 204079.738, ""actual_onset_global_ms"": 204091.879, ""actual_offset_global_ms"": 204207.981, ""actual_duration_ms"": 116.102}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 204179.738, ""actual_onset_global_ms"": 204207.336, ""actual_offset_global_ms"": 204708.018, ""actual_duration_ms"": 500.682}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 204679.738, ""actual_onset_global_ms"": 204707.152, ""actual_offset_global_ms"": 206310.784, ""actual_duration_ms"": 1603.632}]",0,0,1,0,1
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,10,22,formal,shape,1779262192,60.0,2026-05-20T15:33:25.944,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,206329.167,206341.862,shape,cue_shape.wav,形状,206457.667,500,207223.917,red,boat,red_boat,j,j,1,3029.739,209986.8,switch,color,shape,,3529.341,none,,,,,206929.167,206957.061,209986.8,3000,3029.739,209986.8,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 206329.167, ""actual_onset_global_ms"": 206341.862, ""actual_offset_global_ms"": 206457.099, ""actual_duration_ms"": 115.237}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 206429.167, ""actual_onset_global_ms"": 206457.459, ""actual_offset_global_ms"": 206957.19, ""actual_duration_ms"": 499.731}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 206929.167, ""actual_onset_global_ms"": 206957.061, ""actual_offset_global_ms"": 209986.8, ""actual_duration_ms"": 3029.739}]",0,1,0,0,1
