participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,1,13,formal,shape,1779088261,173.362,2026-05-18T15:13:35.160,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,150239.227,150254.308,shape,cue_shape.wav,形状,150363.816,500,151130.066,blue,boat,blue_boat,j,j,1,3027.339,154613.169,first,,shape,,4249.513,none,,,,,150839.227,151585.83,154613.169,3000,3027.339,154613.169,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 150239.227, ""actual_onset_global_ms"": 150254.308, ""actual_offset_global_ms"": 150355.241, ""actual_duration_ms"": 100.933}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 150339.227, ""actual_onset_global_ms"": 150363.656, ""actual_offset_global_ms"": 151578.778, ""actual_duration_ms"": 1215.122}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 150839.227, ""actual_onset_global_ms"": 151585.83, ""actual_offset_global_ms"": 154613.169, ""actual_duration_ms"": 3027.339}]",0,1,0,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,2,14,formal,color,1779088261,173.362,2026-05-18T15:13:39.550,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,154629.163,154642.662,color,cue_color.wav,颜色,154747.219,500,155443.782,red,boat,red_boat,j,j,1,3602.156,159529.441,switch,shape,color,,4782.409,none,,,,,155229.163,155927.285,159529.441,3000,3602.156,159529.441,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154629.163, ""actual_onset_global_ms"": 154642.662, ""actual_offset_global_ms"": 154739.5, ""actual_duration_ms"": 96.838}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 154729.163, ""actual_onset_global_ms"": 154747.032, ""actual_offset_global_ms"": 155921.177, ""actual_duration_ms"": 1174.145}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 155229.163, ""actual_onset_global_ms"": 155927.285, ""actual_offset_global_ms"": 159529.441, ""actual_duration_ms"": 3602.156}]",0,1,0,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,3,15,formal,shape,1779088261,173.362,2026-05-18T15:13:44.466,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,159545.079,159559.159,shape,cue_shape.wav,形状,159664.583,500,160430.833,blue,rabbit,blue_rabbit,s,s,1,1411.837,162296.712,switch,color,shape,,2632.28,none,,,,,160145.079,160884.875,162296.712,3000,1411.837,162296.712,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 159545.079, ""actual_onset_global_ms"": 159559.159, ""actual_offset_global_ms"": 159656.228, ""actual_duration_ms"": 97.069}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 159645.079, ""actual_onset_global_ms"": 159664.432, ""actual_offset_global_ms"": 160877.891, ""actual_duration_ms"": 1213.459}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 160145.079, ""actual_onset_global_ms"": 160884.875, ""actual_offset_global_ms"": 162296.712, ""actual_duration_ms"": 1411.837}]",0,0,1,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,4,16,formal,color,1779088261,173.362,2026-05-18T15:13:47.229,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,162308.266,162322.48,color,cue_color.wav,颜色,162426.573,500,163123.136,red,rabbit,red_rabbit,j,j,1,6157.402,169759.202,switch,shape,color,,7332.823,none,,,,,162908.266,163601.8,169759.202,3000,6157.402,169759.202,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 162308.266, ""actual_onset_global_ms"": 162322.48, ""actual_offset_global_ms"": 162417.507, ""actual_duration_ms"": 95.027}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 162408.266, ""actual_onset_global_ms"": 162426.379, ""actual_offset_global_ms"": 163594.94, ""actual_duration_ms"": 1168.561}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 162908.266, ""actual_onset_global_ms"": 163601.8, ""actual_offset_global_ms"": 169759.202, ""actual_duration_ms"": 6157.402}]",0,1,0,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,5,17,formal,shape,1779088261,173.362,2026-05-18T15:13:54.700,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,169779.991,169794.337,shape,cue_shape.wav,形状,169905.219,500,170671.469,red,rabbit,red_rabbit,s,s,1,2640.439,173778.027,switch,color,shape,,3872.96,none,,,,,170379.991,171137.588,173778.027,3000,2640.439,173778.027,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 169779.991, ""actual_onset_global_ms"": 169794.337, ""actual_offset_global_ms"": 169896.081, ""actual_duration_ms"": 101.744}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 169879.991, ""actual_onset_global_ms"": 169905.067, ""actual_offset_global_ms"": 171130.17, ""actual_duration_ms"": 1225.103}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 170379.991, ""actual_onset_global_ms"": 171137.588, ""actual_offset_global_ms"": 173778.027, ""actual_duration_ms"": 2640.439}]",0,0,1,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,6,18,formal,color,1779088261,173.362,2026-05-18T15:13:58.707,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,173786.634,173800.856,color,cue_color.wav,颜色,173905.218,500,174601.78,red,rabbit,red_rabbit,j,j,1,2596.965,177681.008,switch,shape,color,,3775.948,none,,,,,174386.634,175084.043,177681.008,3000,2596.965,177681.008,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 173786.634, ""actual_onset_global_ms"": 173800.856, ""actual_offset_global_ms"": 173898.095, ""actual_duration_ms"": 97.239}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 173886.634, ""actual_onset_global_ms"": 173905.06, ""actual_offset_global_ms"": 175077.044, ""actual_duration_ms"": 1171.984}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 174386.634, ""actual_onset_global_ms"": 175084.043, ""actual_offset_global_ms"": 177681.008, ""actual_duration_ms"": 2596.965}]",0,0,1,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,7,19,formal,shape,1779088261,173.362,2026-05-18T15:14:02.622,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,177702.048,177716.642,shape,cue_shape.wav,形状,177827.767,500,178594.017,blue,rabbit,blue_rabbit,s,s,1,3508.25,182564.986,switch,color,shape,,4737.38,none,,,,,178302.048,179056.736,182564.986,3000,3508.25,182564.986,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 177702.048, ""actual_onset_global_ms"": 177716.642, ""actual_offset_global_ms"": 177819.369, ""actual_duration_ms"": 102.727}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 177802.048, ""actual_onset_global_ms"": 177827.606, ""actual_offset_global_ms"": 179048.633, ""actual_duration_ms"": 1221.027}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 178302.048, ""actual_onset_global_ms"": 179056.736, ""actual_offset_global_ms"": 182564.986, ""actual_duration_ms"": 3508.25}]",0,1,0,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,8,20,formal,shape,1779088261,173.362,2026-05-18T15:14:07.504,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,182584.268,182598.035,shape,cue_shape.wav,形状,182709.064,500,183475.314,red,boat,red_boat,j,j,1,3392.673,187338.217,repeat,shape,shape,,4629.873,none,,,,,183184.268,183945.544,187338.217,3000,3392.673,187338.217,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 182584.268, ""actual_onset_global_ms"": 182598.035, ""actual_offset_global_ms"": 182699.884, ""actual_duration_ms"": 101.849}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 182684.268, ""actual_onset_global_ms"": 182708.344, ""actual_offset_global_ms"": 183937.931, ""actual_duration_ms"": 1229.587}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 183184.268, ""actual_onset_global_ms"": 183945.544, ""actual_offset_global_ms"": 187338.217, ""actual_duration_ms"": 3392.673}]",0,1,0,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,9,21,formal,color,1779088261,173.362,2026-05-18T15:14:12.269,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,187348.741,187362.98,color,cue_color.wav,颜色,187466.268,500,188162.831,blue,rabbit,blue_rabbit,s,s,1,2182.481,190820.111,switch,shape,color,,3353.98,none,,,,,187948.741,188637.63,190820.111,3000,2182.481,190820.111,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 187348.741, ""actual_onset_global_ms"": 187362.98, ""actual_offset_global_ms"": 187458.76, ""actual_duration_ms"": 95.78}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 187448.741, ""actual_onset_global_ms"": 187466.131, ""actual_offset_global_ms"": 188631.142, ""actual_duration_ms"": 1165.011}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 187948.741, ""actual_onset_global_ms"": 188637.63, ""actual_offset_global_ms"": 190820.111, ""actual_duration_ms"": 2182.481}]",0,0,1,0,1
24,24_T1_20260518_151101,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,1,mixed_formal,formal,1,10,22,formal,shape,1779088261,173.362,2026-05-18T15:14:15.760,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,190839.645,190853.757,shape,cue_shape.wav,形状,190964.044,500,191730.294,red,rabbit,red_rabbit,s,s,1,1763.01,193942.168,switch,color,shape,,2978.294,none,,,,,191439.645,192179.158,193942.168,3000,1763.01,193942.168,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 190839.645, ""actual_onset_global_ms"": 190853.757, ""actual_offset_global_ms"": 190955.601, ""actual_duration_ms"": 101.844}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 190939.645, ""actual_onset_global_ms"": 190963.874, ""actual_offset_global_ms"": 192172.009, ""actual_duration_ms"": 1208.135}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 191439.645, ""actual_onset_global_ms"": 192179.158, ""actual_offset_global_ms"": 193942.168, ""actual_duration_ms"": 1763.01}]",0,0,1,0,1
