participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,9,formal,N3_change,1779261925,136.562,2026-05-20T15:35:34.851,0,0,0,1,605012.825,605028.0,3,change,0,"[163.99, -185.87]","[[163.99, -185.87], [190.44, -80.15], [-121.58, -238.5]]","[""purple"", ""yellow"", ""green""]","[""blue"", ""yellow"", ""green""]",purple,blue,j,change,j,1,1,1698.302,,,,,,4,1,608612.825,608723.159,610478.492,4000,1755.333,610478.492,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 605012.825, ""actual_onset_global_ms"": 605028.0, ""actual_offset_global_ms"": 605127.725, ""actual_duration_ms"": 99.725}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 605112.825, ""actual_onset_global_ms"": 605213.427, ""actual_offset_global_ms"": 607636.755, ""actual_duration_ms"": 2423.328}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 607636.755, ""actual_onset_global_ms"": 607644.738, ""actual_offset_global_ms"": 608642.139, ""actual_duration_ms"": 997.401}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 608642.139, ""actual_onset_global_ms"": 608723.159, ""actual_offset_global_ms"": 610478.492, ""actual_duration_ms"": 1755.333}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,10,formal,N3_change,1779261925,136.562,2026-05-20T15:35:40.324,0,0,0,1,610485.983,610500.985,3,change,2,"[35.52, -100.54]","[[58.37, 200.74], [-249.28, 168.8], [35.52, -100.54]]","[""green"", ""blue"", ""red""]","[""green"", ""blue"", ""purple""]",red,purple,j,change,j,1,1,1875.134,,,,,,3,1,614085.983,614204.884,616097.295,4000,1892.411,616097.295,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 610485.983, ""actual_onset_global_ms"": 610500.985, ""actual_offset_global_ms"": 610601.151, ""actual_duration_ms"": 100.166}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 610585.983, ""actual_onset_global_ms"": 610681.404, ""actual_offset_global_ms"": 613109.85, ""actual_duration_ms"": 2428.446}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 613109.85, ""actual_onset_global_ms"": 613118.114, ""actual_offset_global_ms"": 614123.012, ""actual_duration_ms"": 1004.898}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 614123.012, ""actual_onset_global_ms"": 614204.884, ""actual_offset_global_ms"": 616097.295, ""actual_duration_ms"": 1892.411}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,3,11,formal,N4_change,1779261925,136.562,2026-05-20T15:35:45.943,0,0,0,1,616104.955,616122.831,4,change,2,"[257.26, -218.77]","[[121.51, 68.6], [-237.55, 220.3], [257.26, -218.77], [-79.86, -58.82]]","[""yellow"", ""red"", ""purple"", ""green""]","[""yellow"", ""red"", ""blue"", ""green""]",purple,blue,j,change,j,1,1,4927.796,,,,,,4,1,619704.955,620005.764,625057.699,4000,5051.935,625057.699,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 616104.955, ""actual_onset_global_ms"": 616122.831, ""actual_offset_global_ms"": 616324.631, ""actual_duration_ms"": 201.8}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 616204.955, ""actual_onset_global_ms"": 616430.315, ""actual_offset_global_ms"": 618894.083, ""actual_duration_ms"": 2463.768}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 618894.083, ""actual_onset_global_ms"": 618905.147, ""actual_offset_global_ms"": 619902.702, ""actual_duration_ms"": 997.555}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 619902.702, ""actual_onset_global_ms"": 620005.764, ""actual_offset_global_ms"": 625057.699, ""actual_duration_ms"": 5051.935}]",0,1,0,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,4,12,formal,N3_same,1779261925,136.562,2026-05-20T15:35:54.903,0,0,0,1,625064.742,625079.083,3,same,1,"[235.16, -123.68]","[[108.93, 1.88], [235.16, -123.68], [-137.13, 205.12]]","[""green"", ""blue"", ""red""]","[""green"", ""blue"", ""red""]",blue,blue,j,change,s,0,0,3090.697,,,,,,3,1,628664.742,628808.223,631980.28,4000,3172.057,631980.28,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 625064.742, ""actual_onset_global_ms"": 625079.083, ""actual_offset_global_ms"": 625185.695, ""actual_duration_ms"": 106.612}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 625164.742, ""actual_onset_global_ms"": 625270.104, ""actual_offset_global_ms"": 627719.708, ""actual_duration_ms"": 2449.604}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 627719.708, ""actual_onset_global_ms"": 627728.934, ""actual_offset_global_ms"": 628728.049, ""actual_duration_ms"": 999.115}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 628728.049, ""actual_onset_global_ms"": 628808.223, ""actual_offset_global_ms"": 631980.28, ""actual_duration_ms"": 3172.057}]",0,1,0,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,5,13,formal,N2_change,1779261925,136.562,2026-05-20T15:36:01.828,0,0,0,1,631989.458,632006.987,2,change,0,"[175.78, 132.68]","[[175.78, 132.68], [-181.43, -58.04]]","[""purple"", ""red""]","[""yellow"", ""red""]",purple,yellow,j,change,j,1,1,1510.156,,,,,,2,1,635589.458,635677.702,637258.678,4000,1580.976,637258.678,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 631989.458, ""actual_onset_global_ms"": 632006.987, ""actual_offset_global_ms"": 632105.818, ""actual_duration_ms"": 98.831}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 632089.458, ""actual_onset_global_ms"": 632164.515, ""actual_offset_global_ms"": 634609.256, ""actual_duration_ms"": 2444.741}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 634609.256, ""actual_onset_global_ms"": 634617.528, ""actual_offset_global_ms"": 635619.193, ""actual_duration_ms"": 1001.665}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 635619.193, ""actual_onset_global_ms"": 635677.702, ""actual_offset_global_ms"": 637258.678, ""actual_duration_ms"": 1580.976}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,6,14,formal,N1_change,1779261925,136.562,2026-05-20T15:36:07.105,0,0,0,1,637267.045,637283.791,1,change,0,"[-137.14, -50.44]","[[-137.14, -50.44]]","[""green""]","[""blue""]",green,blue,j,change,j,1,1,1392.534,,,,,,1,1,640867.045,640955.654,642367.557,4000,1411.903,642367.557,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 637267.045, ""actual_onset_global_ms"": 637283.791, ""actual_offset_global_ms"": 637387.898, ""actual_duration_ms"": 104.107}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 637367.045, ""actual_onset_global_ms"": 637422.946, ""actual_offset_global_ms"": 639919.885, ""actual_duration_ms"": 2496.939}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 639919.885, ""actual_onset_global_ms"": 639923.976, ""actual_offset_global_ms"": 640922.943, ""actual_duration_ms"": 998.967}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 640922.943, ""actual_onset_global_ms"": 640955.654, ""actual_offset_global_ms"": 642367.557, ""actual_duration_ms"": 1411.903}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,7,15,formal,N4_same,1779261925,136.562,2026-05-20T15:36:12.215,0,0,0,1,642376.449,642391.472,4,same,2,"[-249.05, 189.91]","[[-97.28, -127.16], [101.96, -216.45], [-249.05, 189.91], [-218.86, -113.13]]","[""blue"", ""yellow"", ""purple"", ""red""]","[""blue"", ""yellow"", ""purple"", ""red""]",purple,purple,j,change,s,0,0,2863.622,,,,,,6,1,645976.449,646146.67,649109.364,4000,2962.694,649109.364,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 642376.449, ""actual_onset_global_ms"": 642391.472, ""actual_offset_global_ms"": 642495.251, ""actual_duration_ms"": 103.779}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 642476.449, ""actual_onset_global_ms"": 642598.615, ""actual_offset_global_ms"": 645019.946, ""actual_duration_ms"": 2421.331}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 645019.946, ""actual_onset_global_ms"": 645028.107, ""actual_offset_global_ms"": 646034.028, ""actual_duration_ms"": 1005.921}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 646034.028, ""actual_onset_global_ms"": 646146.67, ""actual_offset_global_ms"": 649109.364, ""actual_duration_ms"": 2962.694}]",0,0,0,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,8,16,formal,N3_same,1779261925,136.562,2026-05-20T15:36:18.955,0,0,0,1,649116.826,649132.446,3,same,0,"[135.98, -119.85]","[[135.98, -119.85], [-190.4, -213.45], [213.09, 40.19]]","[""red"", ""yellow"", ""purple""]","[""red"", ""yellow"", ""purple""]",red,red,j,change,s,0,0,3374.387,,,,,,3,1,652716.826,652891.74,656337.946,4000,3446.206,656337.946,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 649116.826, ""actual_onset_global_ms"": 649132.446, ""actual_offset_global_ms"": 649226.195, ""actual_duration_ms"": 93.749}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 649216.826, ""actual_onset_global_ms"": 649305.354, ""actual_offset_global_ms"": 651806.745, ""actual_duration_ms"": 2501.391}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 651806.745, ""actual_onset_global_ms"": 651812.008, ""actual_offset_global_ms"": 652813.709, ""actual_duration_ms"": 1001.701}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 652813.709, ""actual_onset_global_ms"": 652891.74, ""actual_offset_global_ms"": 656337.946, ""actual_duration_ms"": 3446.206}]",0,1,0,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,9,17,formal,N4_same,1779261925,136.562,2026-05-20T15:36:26.184,0,0,0,1,656345.356,656360.614,4,same,3,"[-213.05, 233.17]","[[246.81, -90.31], [-233.1, 14.55], [52.1, 227.73], [-213.05, 233.17]]","[""purple"", ""yellow"", ""blue"", ""red""]","[""purple"", ""yellow"", ""blue"", ""red""]",red,red,j,change,s,0,0,3231.225,,,,,,5,1,659945.356,660086.284,663391.497,4000,3305.213,663391.497,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 656345.356, ""actual_onset_global_ms"": 656360.614, ""actual_offset_global_ms"": 656460.09, ""actual_duration_ms"": 99.476}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 656445.356, ""actual_onset_global_ms"": 656562.89, ""actual_offset_global_ms"": 658974.388, ""actual_duration_ms"": 2411.498}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 658974.388, ""actual_onset_global_ms"": 658982.937, ""actual_offset_global_ms"": 659983.611, ""actual_duration_ms"": 1000.674}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 659983.611, ""actual_onset_global_ms"": 660086.284, ""actual_offset_global_ms"": 663391.497, ""actual_duration_ms"": 3305.213}]",0,1,0,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,10,18,formal,N1_change,1779261925,136.562,2026-05-20T15:36:33.239,0,0,0,1,663400.833,663418.497,1,change,0,"[120.12, 228.33]","[[120.12, 228.33]]","[""red""]","[""blue""]",red,blue,j,change,j,1,1,933.571,,,,,,1,1,667000.833,667074.442,668058.976,4000,984.534,668058.976,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 663400.833, ""actual_onset_global_ms"": 663418.497, ""actual_offset_global_ms"": 663517.873, ""actual_duration_ms"": 99.376}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 663500.833, ""actual_onset_global_ms"": 663549.636, ""actual_offset_global_ms"": 666032.931, ""actual_duration_ms"": 2483.295}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 666032.931, ""actual_onset_global_ms"": 666041.587, ""actual_offset_global_ms"": 667040.681, ""actual_duration_ms"": 999.094}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 667040.681, ""actual_onset_global_ms"": 667074.442, ""actual_offset_global_ms"": 668058.976, ""actual_duration_ms"": 984.534}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,11,19,formal,N2_change,1779261925,136.562,2026-05-20T15:36:37.906,0,0,0,1,668067.643,668083.015,2,change,1,"[-191.38, 26.69]","[[-199.35, -233.19], [-191.38, 26.69]]","[""yellow"", ""green""]","[""yellow"", ""red""]",green,red,j,change,j,1,1,1241.572,,,,,,3,1,671667.643,671763.682,673072.146,4000,1308.464,673072.146,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 668067.643, ""actual_onset_global_ms"": 668083.015, ""actual_offset_global_ms"": 668185.649, ""actual_duration_ms"": 102.634}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 668167.643, ""actual_onset_global_ms"": 668249.73, ""actual_offset_global_ms"": 670694.1, ""actual_duration_ms"": 2444.37}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 670694.1, ""actual_onset_global_ms"": 670703.206, ""actual_offset_global_ms"": 671705.393, ""actual_duration_ms"": 1002.187}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 671705.393, ""actual_onset_global_ms"": 671763.682, ""actual_offset_global_ms"": 673072.146, ""actual_duration_ms"": 1308.464}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,12,20,formal,N1_same,1779261925,136.562,2026-05-20T15:36:42.918,0,0,0,1,673080.223,673094.789,1,same,0,"[93.62, -22.5]","[[93.62, -22.5]]","[""green""]","[""green""]",green,green,s,same,s,1,1,1097.813,,,,,,1,1,676680.223,676743.48,677885.79,4000,1142.31,677885.79,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 673080.223, ""actual_onset_global_ms"": 673094.789, ""actual_offset_global_ms"": 673201.451, ""actual_duration_ms"": 106.662}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 673180.223, ""actual_onset_global_ms"": 673231.662, ""actual_offset_global_ms"": 675704.184, ""actual_duration_ms"": 2472.522}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 675704.184, ""actual_onset_global_ms"": 675711.914, ""actual_offset_global_ms"": 676710.837, ""actual_duration_ms"": 998.923}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 676710.837, ""actual_onset_global_ms"": 676743.48, ""actual_offset_global_ms"": 677885.79, ""actual_duration_ms"": 1142.31}]",0,0,1,0,1
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,13,21,formal,N2_change,1779261925,136.562,2026-05-20T15:36:47.733,0,0,0,1,677894.965,677908.971,2,change,1,"[-179.66, -58.83]","[[243.61, 139.85], [-179.66, -58.83]]","[""red"", ""blue""]","[""red"", ""yellow""]",blue,yellow,j,change,j,1,1,1551.058,,,,,,2,1,681494.965,681605.441,683189.39,4000,1583.949,683189.39,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 677894.965, ""actual_onset_global_ms"": 677908.971, ""actual_offset_global_ms"": 678011.1, ""actual_duration_ms"": 102.129}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 677994.965, ""actual_onset_global_ms"": 678064.322, ""actual_offset_global_ms"": 680540.382, ""actual_duration_ms"": 2476.06}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 680540.382, ""actual_onset_global_ms"": 680549.248, ""actual_offset_global_ms"": 681548.131, ""actual_duration_ms"": 998.883}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 681548.131, ""actual_onset_global_ms"": 681605.441, ""actual_offset_global_ms"": 683189.39, ""actual_duration_ms"": 1583.949}]",0,0,1,0,1
