participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,49,formal,N2_change,1779090311,95.764,2026-05-18T16:12:12.230,0,0,0,6,1615580.521,1615600.094,2,change,1,"[-12.9, -104.52]","[[111.04, 139.04], [-12.9, -104.52]]","[""green"", ""yellow""]","[""green"", ""blue""]",yellow,blue,j,change,j,1,1,13826.519,,,,,,2,1,1619180.521,1619297.823,1633174.377,4000,13876.554,1633174.377,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1615580.521, ""actual_onset_global_ms"": 1615600.094, ""actual_offset_global_ms"": 1615704.592, ""actual_duration_ms"": 104.498}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1615680.521, ""actual_onset_global_ms"": 1615765.359, ""actual_offset_global_ms"": 1618223.793, ""actual_duration_ms"": 2458.434}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1618223.793, ""actual_onset_global_ms"": 1618236.249, ""actual_offset_global_ms"": 1619237.457, ""actual_duration_ms"": 1001.208}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1619237.457, ""actual_onset_global_ms"": 1619297.823, ""actual_offset_global_ms"": 1633174.377, ""actual_duration_ms"": 13876.554}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,50,formal,N4_same,1779090311,95.764,2026-05-18T16:12:29.832,0,0,0,6,1633182.881,1633209.62,4,same,0,"[2.7, 164.21]","[[2.7, 164.21], [101.74, -65.53], [125.92, 105.0], [182.2, -150.88]]","[""yellow"", ""blue"", ""purple"", ""red""]","[""yellow"", ""blue"", ""purple"", ""red""]",yellow,yellow,j,change,s,0,0,5450.975,,,,,,4,1,1636782.881,1636983.784,1642566.627,4000,5582.843,1642566.627,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1633182.881, ""actual_onset_global_ms"": 1633209.62, ""actual_offset_global_ms"": 1633295.672, ""actual_duration_ms"": 86.052}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1633282.881, ""actual_onset_global_ms"": 1633392.545, ""actual_offset_global_ms"": 1635858.548, ""actual_duration_ms"": 2466.003}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1635858.548, ""actual_onset_global_ms"": 1635866.904, ""actual_offset_global_ms"": 1636876.702, ""actual_duration_ms"": 1009.798}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1636876.702, ""actual_onset_global_ms"": 1636983.784, ""actual_offset_global_ms"": 1642566.627, ""actual_duration_ms"": 5582.843}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,3,51,formal,N4_change,1779090311,95.764,2026-05-18T16:12:39.227,0,0,0,6,1642578.009,1642604.878,4,change,3,"[114.97, -253.48]","[[128.04, -40.13], [94.76, 219.65], [-99.73, -212.44], [114.97, -253.48]]","[""blue"", ""red"", ""purple"", ""green""]","[""blue"", ""red"", ""purple"", ""yellow""]",green,yellow,s,same,j,0,0,3284.964,,,,,,4,1,1646178.009,1646370.816,1649779.124,4000,3408.308,1649779.124,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1642578.009, ""actual_onset_global_ms"": 1642604.878, ""actual_offset_global_ms"": 1642701.39, ""actual_duration_ms"": 96.512}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1642678.009, ""actual_onset_global_ms"": 1642816.71, ""actual_offset_global_ms"": 1645261.25, ""actual_duration_ms"": 2444.54}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1645261.25, ""actual_onset_global_ms"": 1645272.053, ""actual_offset_global_ms"": 1646273.023, ""actual_duration_ms"": 1000.97}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1646273.023, ""actual_onset_global_ms"": 1646370.816, ""actual_offset_global_ms"": 1649779.124, ""actual_duration_ms"": 3408.308}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,4,52,formal,N3_same,1779090311,95.764,2026-05-18T16:12:46.438,0,0,0,6,1649788.815,1649811.725,3,same,2,"[-26.32, 176.39]","[[215.6, -140.12], [173.32, 60.55], [-26.32, 176.39]]","[""green"", ""purple"", ""red""]","[""green"", ""purple"", ""red""]",red,red,j,change,s,0,0,14850.31,,,,,,3,1,1653388.815,1653529.086,1668431.321,4000,14902.235,1668431.321,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1649788.815, ""actual_onset_global_ms"": 1649811.725, ""actual_offset_global_ms"": 1649902.889, ""actual_duration_ms"": 91.164}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1649888.815, ""actual_onset_global_ms"": 1649984.642, ""actual_offset_global_ms"": 1652433.992, ""actual_duration_ms"": 2449.35}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1652433.992, ""actual_onset_global_ms"": 1652442.041, ""actual_offset_global_ms"": 1653449.634, ""actual_duration_ms"": 1007.593}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1653449.634, ""actual_onset_global_ms"": 1653529.086, ""actual_offset_global_ms"": 1668431.321, ""actual_duration_ms"": 14902.235}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,5,53,formal,N3_change,1779090311,95.764,2026-05-18T16:13:05.089,0,0,0,6,1668439.456,1668461.724,3,change,2,"[-131.91, -199.86]","[[135.13, -103.41], [227.9, -1.11], [-131.91, -199.86]]","[""red"", ""blue"", ""purple""]","[""red"", ""blue"", ""green""]",purple,green,j,change,j,1,1,6340.406,,,,,,3,1,1672039.456,1672175.223,1678611.942,4000,6436.719,1678611.942,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1668439.456, ""actual_onset_global_ms"": 1668461.724, ""actual_offset_global_ms"": 1668566.239, ""actual_duration_ms"": 104.515}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1668539.456, ""actual_onset_global_ms"": 1668660.153, ""actual_offset_global_ms"": 1671075.093, ""actual_duration_ms"": 2414.94}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1671075.093, ""actual_onset_global_ms"": 1671084.686, ""actual_offset_global_ms"": 1672091.379, ""actual_duration_ms"": 1006.693}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1672091.379, ""actual_onset_global_ms"": 1672175.223, ""actual_offset_global_ms"": 1678611.942, ""actual_duration_ms"": 6436.719}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,6,54,formal,N2_change,1779090311,95.764,2026-05-18T16:13:15.271,0,0,0,6,1678621.878,1678646.103,2,change,1,"[181.34, 157.95]","[[-127.69, 9.84], [181.34, 157.95]]","[""green"", ""purple""]","[""green"", ""red""]",purple,red,s,same,j,0,0,3248.513,,,,,,2,1,1682221.878,1682391.301,1685664.312,4000,3273.011,1685664.312,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1678621.878, ""actual_onset_global_ms"": 1678646.103, ""actual_offset_global_ms"": 1678754.709, ""actual_duration_ms"": 108.606}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1678721.878, ""actual_onset_global_ms"": 1678810.913, ""actual_offset_global_ms"": 1681303.194, ""actual_duration_ms"": 2492.281}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1681303.194, ""actual_onset_global_ms"": 1681308.94, ""actual_offset_global_ms"": 1682319.618, ""actual_duration_ms"": 1010.678}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1682319.618, ""actual_onset_global_ms"": 1682391.301, ""actual_offset_global_ms"": 1685664.312, ""actual_duration_ms"": 3273.011}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,7,55,formal,N4_change,1779090311,95.764,2026-05-18T16:13:22.327,0,0,0,6,1685676.88,1685704.23,4,change,0,"[144.25, -150.51]","[[144.25, -150.51], [-175.76, -79.89], [-67.81, 219.52], [-70.6, -56.53]]","[""blue"", ""green"", ""yellow"", ""red""]","[""purple"", ""green"", ""yellow"", ""red""]",blue,purple,j,change,j,1,1,4889.542,,,,,,4,1,1689276.88,1689473.023,1694475.253,4000,5002.23,1694475.253,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1685676.88, ""actual_onset_global_ms"": 1685704.23, ""actual_offset_global_ms"": 1685806.808, ""actual_duration_ms"": 102.578}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1685776.88, ""actual_onset_global_ms"": 1685921.725, ""actual_offset_global_ms"": 1688352.344, ""actual_duration_ms"": 2430.619}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1688352.344, ""actual_onset_global_ms"": 1688366.385, ""actual_offset_global_ms"": 1689371.553, ""actual_duration_ms"": 1005.168}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1689371.553, ""actual_onset_global_ms"": 1689473.023, ""actual_offset_global_ms"": 1694475.253, ""actual_duration_ms"": 5002.23}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,8,56,formal,N3_same,1779090311,95.764,2026-05-18T16:13:31.137,0,0,0,6,1694488.543,1694514.548,3,same,2,"[240.6, 54.66]","[[-31.27, -219.65], [-102.61, 232.27], [240.6, 54.66]]","[""blue"", ""yellow"", ""red""]","[""blue"", ""yellow"", ""red""]",red,red,s,same,s,1,1,3427.631,,,,,,3,1,1698088.543,1698257.694,1701719.934,4000,3462.24,1701719.934,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1694488.543, ""actual_onset_global_ms"": 1694514.548, ""actual_offset_global_ms"": 1694612.545, ""actual_duration_ms"": 97.997}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1694588.543, ""actual_onset_global_ms"": 1694709.894, ""actual_offset_global_ms"": 1697157.452, ""actual_duration_ms"": 2447.558}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1697157.452, ""actual_onset_global_ms"": 1697170.575, ""actual_offset_global_ms"": 1698173.853, ""actual_duration_ms"": 1003.278}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1698173.853, ""actual_onset_global_ms"": 1698257.694, ""actual_offset_global_ms"": 1701719.934, ""actual_duration_ms"": 3462.24}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,9,57,formal,N3_same,1779090311,95.764,2026-05-18T16:13:38.382,0,0,0,6,1701731.992,1701757.344,3,same,2,"[-159.78, 207.23]","[[-235.12, 59.71], [-82.34, -164.18], [-159.78, 207.23]]","[""green"", ""yellow"", ""red""]","[""green"", ""yellow"", ""red""]",red,red,j,change,s,0,0,8261.14,,,,,,3,1,1705331.992,1705537.478,1713885.049,4000,8347.571,1713885.049,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1701731.992, ""actual_onset_global_ms"": 1701757.344, ""actual_offset_global_ms"": 1701858.108, ""actual_duration_ms"": 100.764}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1701831.992, ""actual_onset_global_ms"": 1701945.346, ""actual_offset_global_ms"": 1704426.305, ""actual_duration_ms"": 2480.959}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1704426.305, ""actual_onset_global_ms"": 1704441.53, ""actual_offset_global_ms"": 1705438.52, ""actual_duration_ms"": 996.99}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1705438.52, ""actual_onset_global_ms"": 1705537.478, ""actual_offset_global_ms"": 1713885.049, ""actual_duration_ms"": 8347.571}]",0,1,0,0,1
031,031_T1_20260518_154511,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,10,58,formal,N1_change,1779090311,95.764,2026-05-18T16:13:50.548,0,0,0,6,1713898.223,1713924.848,1,change,0,"[87.09, 58.57]","[[87.09, 58.57]]","[""purple""]","[""blue""]",purple,blue,j,change,j,1,1,25260.819,,,,,,1,1,1717498.223,1717614.213,1742934.35,4000,25320.137,1742934.35,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 1713898.223, ""actual_onset_global_ms"": 1713924.848, ""actual_offset_global_ms"": 1714019.271, ""actual_duration_ms"": 94.423}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 1713998.223, ""actual_onset_global_ms"": 1714072.625, ""actual_offset_global_ms"": 1716551.993, ""actual_duration_ms"": 2479.368}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 1716551.993, ""actual_onset_global_ms"": 1716569.445, ""actual_offset_global_ms"": 1717564.276, ""actual_duration_ms"": 994.831}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 1717564.276, ""actual_onset_global_ms"": 1717614.213, ""actual_offset_global_ms"": 1742934.35, ""actual_duration_ms"": 25320.137}]",0,1,0,0,1
