participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,1,13,formal,color,1779089255,59.976,2026-05-18T15:32:38.988,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,297265.501,297307.476,color,cue_color.wav,颜色,297414.11,500,298110.672,blue,boat,blue_boat,s,s,1,3240.868,301642.442,first,,color,,4228.988,none,,,,,297865.501,298401.574,301642.442,3000,3240.868,301642.442,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 297265.501, ""actual_onset_global_ms"": 297307.476, ""actual_offset_global_ms"": 297393.858, ""actual_duration_ms"": 86.382}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 297365.501, ""actual_onset_global_ms"": 297413.454, ""actual_offset_global_ms"": 298387.615, ""actual_duration_ms"": 974.161}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 297865.501, ""actual_onset_global_ms"": 298401.574, ""actual_offset_global_ms"": 301642.442, ""actual_duration_ms"": 3240.868}]",0,1,0,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,2,14,formal,color,1779089255,59.976,2026-05-18T15:32:43.397,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,301673.878,301705.1,color,cue_color.wav,颜色,301834.672,500,302531.235,red,boat,red_boat,j,j,1,3058.834,305831.604,repeat,color,color,,3997.455,none,,,,,302273.878,302772.77,305831.604,3000,3058.834,305831.604,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 301673.878, ""actual_onset_global_ms"": 301705.1, ""actual_offset_global_ms"": 301816.391, ""actual_duration_ms"": 111.291}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 301773.878, ""actual_onset_global_ms"": 301834.149, ""actual_offset_global_ms"": 302762.248, ""actual_duration_ms"": 928.099}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 302273.878, ""actual_onset_global_ms"": 302772.77, ""actual_offset_global_ms"": 305831.604, ""actual_duration_ms"": 3058.834}]",0,1,0,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,3,15,formal,shape,1779089255,59.976,2026-05-18T15:32:47.568,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,305844.863,305878.717,shape,cue_shape.wav,形状,305980.766,500,306747.016,blue,rabbit,blue_rabbit,s,s,1,3216.808,310192.04,switch,color,shape,,4212.046,none,,,,,306444.863,306975.232,310192.04,3000,3216.808,310192.04,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 305844.863, ""actual_onset_global_ms"": 305878.717, ""actual_offset_global_ms"": 305963.251, ""actual_duration_ms"": 84.534}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 305944.863, ""actual_onset_global_ms"": 305979.994, ""actual_offset_global_ms"": 306958.969, ""actual_duration_ms"": 978.975}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 306444.863, ""actual_onset_global_ms"": 306975.232, ""actual_offset_global_ms"": 310192.04, ""actual_duration_ms"": 3216.808}]",0,1,0,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,4,16,formal,shape,1779089255,59.976,2026-05-18T15:32:51.932,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,310208.642,310244.368,shape,cue_shape.wav,形状,310353.319,500,311119.569,blue,rabbit,blue_rabbit,s,s,1,1251.388,312608.866,repeat,shape,shape,,2256.143,none,,,,,310808.642,311357.478,312608.866,3000,1251.388,312608.866,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 310208.642, ""actual_onset_global_ms"": 310244.368, ""actual_offset_global_ms"": 310333.798, ""actual_duration_ms"": 89.43}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 310308.642, ""actual_onset_global_ms"": 310352.723, ""actual_offset_global_ms"": 311346.544, ""actual_duration_ms"": 993.821}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 310808.642, ""actual_onset_global_ms"": 311357.478, ""actual_offset_global_ms"": 312608.866, ""actual_duration_ms"": 1251.388}]",0,0,1,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,5,17,formal,shape,1779089255,59.976,2026-05-18T15:32:54.368,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,312644.724,312667.139,shape,cue_shape.wav,形状,312777.863,500,313544.113,red,boat,red_boat,j,j,1,1755.49,315221.093,repeat,shape,shape,,2443.636,none,,,,,313244.724,313465.603,315221.093,3000,1755.49,315221.093,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 312644.724, ""actual_onset_global_ms"": 312667.139, ""actual_offset_global_ms"": 312767.478, ""actual_duration_ms"": 100.339}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 312744.724, ""actual_onset_global_ms"": 312777.457, ""actual_offset_global_ms"": 313454.374, ""actual_duration_ms"": 676.917}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 313244.724, ""actual_onset_global_ms"": 313465.603, ""actual_offset_global_ms"": 315221.093, ""actual_duration_ms"": 1755.49}]",0,0,1,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,6,18,formal,color,1779089255,59.976,2026-05-18T15:32:56.969,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,315245.138,315268.326,color,cue_color.wav,颜色,315373.272,500,316069.834,red,boat,red_boat,j,j,1,4959.749,321046.555,switch,shape,color,,5673.715,none,,,,,315845.138,316086.806,321046.555,3000,4959.749,321046.555,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 315245.138, ""actual_onset_global_ms"": 315268.326, ""actual_offset_global_ms"": 315363.938, ""actual_duration_ms"": 95.612}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 315345.138, ""actual_onset_global_ms"": 315372.84, ""actual_offset_global_ms"": 316077.588, ""actual_duration_ms"": 704.748}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 315845.138, ""actual_onset_global_ms"": 316086.806, ""actual_offset_global_ms"": 321046.555, ""actual_duration_ms"": 4959.749}]",0,1,0,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,7,19,formal,color,1779089255,59.976,2026-05-18T15:33:02.798,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,321073.96,321094.991,color,cue_color.wav,颜色,321217.06,500,321913.622,blue,rabbit,blue_rabbit,s,s,1,2087.469,323991.586,repeat,color,color,,2775.986,none,,,,,321673.96,321904.117,323991.586,3000,2087.469,323991.586,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 321073.96, ""actual_onset_global_ms"": 321094.991, ""actual_offset_global_ms"": 321205.237, ""actual_duration_ms"": 110.246}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 321173.96, ""actual_onset_global_ms"": 321215.6, ""actual_offset_global_ms"": 321897.977, ""actual_duration_ms"": 682.377}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 321673.96, ""actual_onset_global_ms"": 321904.117, ""actual_offset_global_ms"": 323991.586, ""actual_duration_ms"": 2087.469}]",0,0,1,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,8,20,formal,shape,1779089255,59.976,2026-05-18T15:33:05.731,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,324006.654,324035.117,shape,cue_shape.wav,形状,324160.741,500,324926.991,red,boat,red_boat,j,j,1,2801.985,327898.118,switch,color,shape,,3737.919,none,,,,,324606.654,325096.133,327898.118,3000,2801.985,327898.118,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 324006.654, ""actual_onset_global_ms"": 324035.117, ""actual_offset_global_ms"": 324140.737, ""actual_duration_ms"": 105.62}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 324106.654, ""actual_onset_global_ms"": 324160.199, ""actual_offset_global_ms"": 325084.964, ""actual_duration_ms"": 924.765}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 324606.654, ""actual_onset_global_ms"": 325096.133, ""actual_offset_global_ms"": 327898.118, ""actual_duration_ms"": 2801.985}]",0,0,1,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,9,21,formal,color,1779089255,59.976,2026-05-18T15:33:09.658,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,327934.364,327956.489,color,cue_color.wav,颜色,328061.967,500,328758.53,blue,rabbit,blue_rabbit,s,s,1,1523.481,330261.017,switch,shape,color,,2199.747,none,,,,,328534.364,328737.536,330261.017,3000,1523.481,330261.017,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 327934.364, ""actual_onset_global_ms"": 327956.489, ""actual_offset_global_ms"": 328050.897, ""actual_duration_ms"": 94.408}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 328034.364, ""actual_onset_global_ms"": 328061.27, ""actual_offset_global_ms"": 328731.086, ""actual_duration_ms"": 669.816}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 328534.364, ""actual_onset_global_ms"": 328737.536, ""actual_offset_global_ms"": 330261.017, ""actual_duration_ms"": 1523.481}]",0,0,1,0,1
045,045_T1_20260518_152735,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,mixed_formal,formal,1,10,22,formal,shape,1779089255,59.976,2026-05-18T15:33:12.020,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,330296.6,330322.804,shape,cue_shape.wav,形状,330436.118,500,331202.368,red,boat,red_boat,j,j,1,2797.543,334122.326,switch,color,shape,,3686.675,none,,,,,330896.6,331324.783,334122.326,3000,2797.543,334122.326,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 330296.6, ""actual_onset_global_ms"": 330322.804, ""actual_offset_global_ms"": 330422.817, ""actual_duration_ms"": 100.013}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 330396.6, ""actual_onset_global_ms"": 330435.651, ""actual_offset_global_ms"": 331314.357, ""actual_duration_ms"": 878.706}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 330896.6, ""actual_onset_global_ms"": 331324.783, ""actual_offset_global_ms"": 334122.326, ""actual_duration_ms"": 2797.543}]",0,0,1,0,1
